model,threshold,accuracy,normal_recall,pneumonia_recall,macro_f1
Cecilia,0.1,0.7451923076923077,0.3247863247863248,0.9974358974358974,0.6595277395532708
Cecilia,0.15000000000000002,0.7756410256410257,0.405982905982906,0.9974358974358974,0.711626064567241
Cecilia,0.20000000000000004,0.8060897435897436,0.48717948717948717,0.9974358974358974,0.7593505678069552
Cecilia,0.25000000000000006,0.8285256410256411,0.5470085470085471,0.9974358974358974,0.7921651024886772
Cecilia,0.30000000000000004,0.8413461538461539,0.5811965811965812,0.9974358974358974,0.810134402075195
Cecilia,0.3500000000000001,0.8525641025641025,0.6111111111111112,0.9974358974358974,0.8254333150884875
Cecilia,0.40000000000000013,0.8621794871794872,0.6367521367521367,0.9974358974358974,0.8382523148148148
Cecilia,0.45000000000000007,0.8701923076923077,0.6666666666666666,0.9923076923076923,0.8495781438328647
Cecilia,0.5000000000000001,0.8782051282051282,0.6965811965811965,0.9871794871794872,0.8605553791327052
Cecilia,0.5500000000000002,0.8830128205128205,0.717948717948718,0.982051282051282,0.8672537745773726
Cecilia,0.6000000000000002,0.8910256410256411,0.7393162393162394,0.982051282051282,0.8771070100441386
Cecilia,0.6500000000000001,0.8990384615384616,0.7649572649572649,0.9794871794871794,0.8870886672200409
Cecilia,0.7000000000000002,0.8958333333333334,0.7692307692307693,0.9717948717948718,0.8840397398327496
Cecilia,0.7500000000000002,0.8942307692307693,0.7863247863247863,0.958974358974359,0.8834225931000125
Cecilia,0.8000000000000002,0.8990384615384616,0.811965811965812,0.9512820512820512,0.889763470409265
Cecilia,0.8500000000000002,0.8990384615384616,0.8333333333333334,0.9384615384615385,0.8908409346495064
Cecilia,0.9000000000000002,0.8958333333333334,0.8589743589743589,0.9179487179487179,0.8887935359871904
VGG16,0.1,0.7564102564102564,0.3547008547008547,0.9974358974358974,0.6792858592006492
VGG16,0.15000000000000002,0.7692307692307693,0.3888888888888889,0.9974358974358974,0.7010499980038061
VGG16,0.20000000000000004,0.780448717948718,0.4188034188034188,0.9974358974358974,0.7194309063161521
VGG16,0.25000000000000006,0.7948717948717948,0.45726495726495725,0.9974358974358974,0.7422253204755819
VGG16,0.30000000000000004,0.8044871794871795,0.4829059829059829,0.9974358974358974,0.7569348659003832
VGG16,0.3500000000000001,0.8157051282051282,0.5128205128205128,0.9974358974358974,0.7736384713657083
VGG16,0.40000000000000013,0.8237179487179487,0.5341880341880342,0.9974358974358974,0.7852852852852853
VGG16,0.45000000000000007,0.8317307692307693,0.5555555555555556,0.9974358974358974,0.7967079849206472
VGG16,0.5000000000000001,0.842948717948718,0.5854700854700855,0.9974358974358974,0.8123434968331125
VGG16,0.5500000000000002,0.8525641025641025,0.6111111111111112,0.9974358974358974,0.8254333150884875
VGG16,0.6000000000000002,0.8637820512820513,0.6495726495726496,0.9923076923076923,0.841269366244602
VGG16,0.6500000000000001,0.875,0.6794871794871795,0.9923076923076923,0.8557405036278276
VGG16,0.7000000000000002,0.8862179487179487,0.7094017094017094,0.9923076923076923,0.8698988356556594
VGG16,0.7500000000000002,0.8910256410256411,0.7264957264957265,0.9897435897435898,0.8761904761904762
VGG16,0.8000000000000002,0.8942307692307693,0.7350427350427351,0.9897435897435898,0.8801327201816171
VGG16,0.8500000000000002,0.905448717948718,0.7649572649572649,0.9897435897435898,0.8937571964089378
VGG16,0.9000000000000002,0.9150641025641025,0.8034188034188035,0.982051282051282,0.9058719058719058
ResNet18,0.1,0.8125,0.5,1.0,0.7681159420289855
ResNet18,0.15000000000000002,0.8317307692307693,0.5512820512820513,1.0,0.7960498669281412
ResNet18,0.20000000000000004,0.8397435897435898,0.5769230769230769,0.9974358974358974,0.8079172566644093
ResNet18,0.25000000000000006,0.842948717948718,0.5854700854700855,0.9974358974358974,0.8123434968331125
ResNet18,0.30000000000000004,0.8493589743589743,0.6025641025641025,0.9974358974358974,0.8211009174311927
ResNet18,0.3500000000000001,0.8541666666666666,0.6153846153846154,0.9974358974358974,0.8275881961797595
ResNet18,0.40000000000000013,0.8589743589743589,0.6282051282051282,0.9974358974358974,0.8340084398389418
ResNet18,0.45000000000000007,0.8685897435897436,0.6538461538461539,0.9974358974358974,0.8466554783025653
ResNet18,0.5000000000000001,0.8717948717948718,0.6623931623931624,0.9974358974358974,0.8508158508158508
ResNet18,0.5500000000000002,0.8814102564102564,0.688034188034188,0.9974358974358974,0.8631384265187082
ResNet18,0.6000000000000002,0.8862179487179487,0.7008547008547008,0.9974358974358974,0.8692136702179476
ResNet18,0.6500000000000001,0.8878205128205128,0.7051282051282052,0.9974358974358974,0.8712264150943396
ResNet18,0.7000000000000002,0.8910256410256411,0.7136752136752137,0.9974358974358974,0.875233760276631
ResNet18,0.7500000000000002,0.8942307692307693,0.7264957264957265,0.9948717948717949,0.8795268127727789
ResNet18,0.8000000000000002,0.8990384615384616,0.7393162393162394,0.9948717948717949,0.8854381890188284
ResNet18,0.8500000000000002,0.9038461538461539,0.7564102564102564,0.9923076923076923,0.8915650088624753
ResNet18,0.9000000000000002,0.9150641025641025,0.7905982905982906,0.9897435897435898,0.905231033741672
